date,amount,category,description
25-01-2026,15.50,Despesa,Metrô Rio - Ida e Volta
26-01-2026,35.0,Despesa,Almoço Executivo - Centro RJ
27-01-2026,120.0,Renda,Venda de itens usados
28-01-2026,45.90,Despesa,Ifood - Hambúrguer
29-01-2026,50.0,Despesa,Recarga Rio Card
30-01-2026,65.0,Despesa,Happy Hour - Centro RJ
01-02-2026,1200.0,Renda,Salário Mensal
02-02-2026,42.0,Despesa,Farmácia - Higiene
03-02-2026,22.0,Despesa,Café e Salgado - Confeitaria Colombo
04-02-2026,150.0,Despesa,Supermercado Mensal
25-01-2026,15.0,Despesa,VLT Carioca - Recarga
26-01-2026,45.0,Despesa,Almoço por Quilo - Centro RJ
27-01-2026,120.0,Renda,Venda de Monitor Usado (OLX)
28-01-2026,55.0,Despesa,Ifood - Pizza Quarta-feira
29-01-2026,30.0,Despesa,Rio Card
30-01-2026,90.0,Despesa,Bar dos Descasados - Lazer
01-02-2026,2800.0,Renda,Salário Mensal
02-02-2026,150.0,Despesa,Conta de Luz (Light)
03-02-2026,99.90,Despesa,Assinatura Internet
04-02-2026,35.0,Despesa,Uber - Volta Evento
05-02-2026,12.50,Despesa,Café e Pão na Chapa - Padaria
06-02-2026,250.0,Despesa,Supermercado Guanabara
07-02-2026,15.0,Renda,Cashback Aplicativo
08-02-2026,40.0,Despesa,Farmácia Drogasil
09-02-2026,30.0,Despesa,Rio Card
